,InVehicle_Longitudinal_Speed,GPS_Speed,InVehicle_Longitudinal_Accel,Epoch
0,11.375,11.307097,-0.103,0
1,11.36670844,11.25596354,-0.353945898,1
2,11.36233129,11.24911511,-0.090961971,2
3,11.35866497,11.26327989,-0.043470138,3
4,11.35674535,11.2703612,-0.037578815,4
5,11.3555598,11.25554402,-0.039736146,5
6,11.35239095,11.25280729,-0.074362582,6
7,11.34554811,11.24361287,4.779643445,7
8,11.3383875,11.22973259,4.779643445,8
9,11.33398455,11.22463044,4.779643445,9
10,11.3300395,11.22372082,4.779643445,10
11,11.32416177,11.23474792,4.779643445,11
12,11.31687485,11.24027837,-0.081499005,12
13,11.31006032,11.2380591,-0.071578028,13
14,11.30283751,11.237968,-0.085312703,14
15,11.29606627,11.21790624,-0.011461819,15
16,11.29037452,11.19215909,2.705047669,16
17,11.28622078,11.19294526,2.705047669,17
18,16.1446883,11.19240837,2.705047669,18
19,16.1446883,11.19021187,2.705047669,19
20,16.1446883,11.17528079,2.705047669,20
21,16.1446883,11.15966332,-0.000317578,21
22,16.1446883,11.14729329,-0.007093765,22
23,11.2538413,11.14937153,0.024647943,23
24,11.24679986,11.15699682,-0.030801099,24
25,11.2394095,11.14354227,-0.060788152,25
26,11.23026377,11.13941475,-0.040745758,26
27,11.22208782,11.12612881,-0.05756413,27
28,11.21612066,11.11795933,-0.001705513,28
29,11.21326655,11.10977567,-0.050034971,29
30,11.2111835,11.09561174,-0.027656589,30
31,11.20816221,11.08152587,-0.063734171,31
32,11.20520664,11.07957537,-0.063860018,32
33,11.20079833,11.1134145,-0.084915988,33
34,11.19607996,11.10187707,-0.063596344,34
35,11.19038508,11.10317488,-0.21050828,35
36,11.18397749,11.09051648,-0.160500128,36
37,11.17704974,11.08377676,-0.186894355,37
38,11.16974209,11.09607299,-0.12230153,38
39,11.16140693,11.07436567,-0.111846071,39
40,11.15457308,11.0383923,-0.161866555,40
41,11.14733422,11.03323953,-0.172168542,41
42,11.13979978,11.014624,-0.122036048,42
43,11.13279982,11.01839133,-0.059242006,43
44,11.12919193,11.01919739,-0.060581439,44
45,11.12430726,11.03533479,-0.061559015,45
46,11.1177405,11.02795391,-0.072754555,46
47,11.11069631,11.02242816,-0.059961428,47
48,11.10555515,11.01478567,-0.076829596,48
49,11.10180291,11.00226618,-0.021007327,49
50,11.09906436,10.9843826,-0.116532584,50
51,11.09481444,10.98993388,-0.08667152,51
52,11.08796073,10.98551659,-0.138252035,52
53,11.08070711,10.99201098,-0.076318174,53
54,11.0754131,10.98467246,-0.120213648,54
55,11.07305028,10.98653561,-0.131286366,55
